Question,Characteristics,US1,US2,US3,US4,US5,AL1,AL2,AL4,AL4,AL5,AK1,AK2,AK3,AK4,AK5,AZ1,AZ2,AZ3,AZ4,AZ5,AR1,AR2,AR3,AR4,AR5,CA1,CA2,CA3,CA4,CA5,CO1,CO2,CO3,CO4,CO5,CT1,CT2,CT3,CT4,CT5,DE1,DE2,DE3,DE4,DE5,DC1,DC2,DC3,DC4,DC5,FL1,FL2,FL3,FL4,FL5,GA1,GA2,GA3,GA4,GA5,HI1,HI2,HI3,HI4,HI5,ID1,ID2,ID3,ID4,ID5,IL1,IL2,IL3,IL4,IL5,IN1,IN2,IN3,IN4,IN5,IA1,IA2,IA3,IA4,IA5,KS1,KS2,KS3,KS4,KS5,KY1,KY2,KY3,KY4,KY5,LA1,LA2,LA3,LA4,LA5,ME1,ME2,ME3,ME4,ME5,MD1,MD2,MD3,MD4,MD5,MA1,MA2,MA3,MA4,MA5,MI1,MI2,MI3,MI4,MI5,MN1,MN2,MN3,MN4,MN5,MS1,MS2,MS3,MS4,MS5,MO1,MO2,MO3,MO4,MO5,MT1,MT2,MT3,MT4,MT5,NE1,NE2,NE3,NE4,NE5,NV1,NV2,NV3,NV4,NV5,NH1,NH2,NH3,NH4,NH5,NJ1,NJ2,NJ3,NJ4,NJ5,NM1,NM2,NM3,NM4,NM5,NY1,NY2,NY3,NY4,NY5,NC1,NC2,NC3,NC4,NC5,ND1,ND2,ND3,ND4,ND5,OH1,OH2,OH3,OH4,OH5,OK1,OK2,OK3,OK4,OK5,OR1,OR2,OR3,OR4,OR5,PA1,PA2,PA3,PA4,PA5,RI1,RI2,RI3,RI4,RI5,SC1,SC2,SC3,SC4,SC5,SD1,SD2,SD3,SD4,SD5,TN1,TN2,TN3,TN4,TN5,TX1,TX2,TX3,TX4,TX5,UT1,UT2,UT3,UT4,UT5,VT1,VT2,VT3,VT4,VT5,VA1,VA2,VA3,VA4,VA5,WA1,WA2,WA3,WA4,WA5,WV1,WV2,WV3,WV4,WV5,WI1,WI2,WI3,WI4,WI5,WY1,WY2,WY3,WY4,WY5,METRO1,METRO2,METRO3,METRO4,METRO5
Age,65 and above,36281693,10538360,1644046,660677,6503360,499914,160197,59531,28766,140428,79695,18226,1010,1923,7321,921542,227336,34637,36641,133635,259381,159533,16738,15420,72549,3964832,1089087,172714,28622,674702,671979,152742,13608,25367,62556,435585,70226,11688,24289,57023,155843,37700,11055,337,11067,52504,17415,1680,,5523,2638734,974963,154955,50038,701848,1054339,340602,74842,32206,90917,209309,49696,3476,,24293,237118,50867,6738,5155,30698,1288144,458666,44462,20285,172581,731023,153739,31837,,201507,408516,122497,2596,3146,58353,327265,89377,10282,12613,41901,479440,205181,13334,9598,83892,380805,217723,64752,8350,122031,208196,58370,14271,,19717,788256,106894,41258,2269,123967,749041,186120,27874,2720,175347,1222657,316134,64789,57362,191791,709357,123482,11503,1048,105395,271782,144418,8553,1117,66833,809763,147943,22365,6713,108012,158235,45719,,448,10801,223981,55572,6074,11143,34536,320865,110106,24435,1767,64327,186139,51610,8823,692,26759,1206714,230160,12093,2370,200136,246548,60228,43466,2213,47325,1821535,753334,6376,123327,438058,1133941,310377,19479,,151452,88491,17931,3331,1355,10539,1656660,302890,5783,3708,215194,368691,181117,23594,9680,63673,586447,140016,21608,3646,56353,1541356,470534,123004,23694,263496,150357,34932,2482,265,23255,639467,147441,22098,12496,142027,107932,36653,4719,,8230,703248,291476,38112,15630,125404,2226167,751871,227865,7056,672335,296159,78736,11687,4926,35996,96656,22176,741,4137,12524,999505,203126,37893,15871,159197,924624,248711,42893,,79894,166696,133811,15011,,55512,804130,167542,19104,42136,106653,72129,13160,2830,135,15798,1872585,442605,11607,125697,431152
Confidence in paying next rent or mortgage,Did not report,47763309,16278535,5361632,2196196,40071248,755440,292975,135106,27385,588021,110235,28175,13538,6746,60087,1014969,405644,107530,43359,723441,472041,210806,34578,27305,386515,5228485,1465521,478614,130464,4529127,759708,196096,47664,12748,594020,615638,148132,30739,31121,468953,171468,52962,20036,361,102898,63638,10514,12632,21175,32235,3224369,1359289,303933,313653,3065564,1363008,512435,358329,27310,1383485,178090,98408,38756,,119478,277031,80579,24709,5845,173105,1688150,635608,149673,66642,1520288,986407,274474,60407,59809,948085,559431,106329,60883,10113,333196,434471,140468,32839,18967,330164,591801,240263,91214,30515,627061,502227,421795,96729,43222,797430,216374,96298,11806,4187,119196,935622,317648,86784,29868,480977,1015482,259599,92860,38652,849383,1653139,361852,216844,68628,1302687,876700,138999,50625,27028,565405,345245,330410,84103,25384,339475,974619,275705,86813,83842,640831,208004,36830,31382,9700,77500,274109,94901,28508,11466,229189,296745,121900,43997,15274,371576,220364,77232,10268,3358,114396,1395492,322540,122031,29998,1331805,296598,152505,107321,23806,274094,3031228,1029043,219139,175136,2602648,1565617,486056,74179,58668,1500157,112122,23675,8586,11023,76034,1970807,703141,281835,116742,1051039,514551,277086,74614,26272,405222,550891,109017,42916,12698,422951,2348201,698093,151960,111943,1658179,138987,47485,8737,1176,132067,758441,280346,73215,29291,833844,164482,42234,6562,2205,68180,951113,386965,98918,105296,863649,3775040,1567699,934991,157830,4079740,395100,147126,24745,3860,253906,127016,22651,12747,2357,55332,1098849,345206,79163,46076,987976,1058634,353022,83442,36413,670603,294615,155826,63436,9266,238134,1125702,308726,43984,39388,614649,76815,28247,7213,2624,77274,2845267,642134,171698,96294,2772119
Confidence in paying next rent or mortgage,High confidence,72035141,15746111,2578447,488282,353955,936551,292379,28372,85377,,169388,33871,4377,,,1717656,418334,113097,5010,23303,549059,149064,31486,14187,1715,8806495,1457831,460215,56227,29070,1664066,411200,36991,9013,4379,833160,128822,19262,1487,6330,213855,77073,5393,,336,245002,22093,7314,,,3771185,1202576,167789,10715,82403,2144579,494865,135003,24275,7633,309238,82835,5703,,,467750,131378,18072,4173,1608,2690947,693652,89365,63822,,1593881,253364,5171,2738,663,687412,180732,28816,5717,5543,618097,166351,16445,3476,8028,860225,271288,28200,,3939,570628,171248,30982,2311,1008,344637,78161,10986,,,1527951,264122,44672,,,1750760,301292,54509,946,4701,2104904,612194,48144,6043,7210,1521013,302424,15803,6662,9730,450421,107611,17392,2122,1361,1466839,258448,47482,21727,,277019,80717,9783,7514,,465304,97283,22200,9572,1052,663927,163808,35797,858,6919,388396,71601,15189,1596,1138,2055870,429446,59145,6714,6151,373327,92435,6750,3032,1192,4048478,719626,120621,44187,4251,2257264,469458,54419,3590,1289,165741,46641,6463,,,2907249,543580,150288,12752,3348,795267,190431,34427,8876,16953,1185970,245048,19570,3849,,2533090,568602,146302,14898,6073,278676,48181,6710,,,1189085,215774,6695,8993,,200435,29654,2632,2043,3272,1332645,465582,55266,20494,,5535130,1067030,195177,,74358,868483,228395,26526,1203,,156947,37583,2801,2050,383,2297343,489839,35579,2923,10954,2363315,403165,51862,1012,13083,231610,152202,7964,,2689,1322081,273151,30033,6097,1049,126792,53671,5213,,839,4214963,689390,122201,40670,8908
Confidence in paying next rent or mortgage,Moderate confidence,8749415,11749550,3424997,587462,63243,68486,201490,92435,2178,,14836,30420,2487,2306,,190383,237720,70035,4424,19699,35741,99690,29961,3052,,1287520,1587126,296470,33302,8870,119706,150853,123326,5338,,102337,96472,33576,10752,,12482,32561,6625,2446,,11071,12353,12451,,,551961,828159,339589,27617,5131,248049,507802,81059,28855,,48451,55163,13962,4257,,29307,71652,22238,5263,652,250339,538336,93498,15604,,129922,195065,47278,5659,,57616,138007,20917,,,65329,100273,36363,,,87521,166649,77719,29141,,100475,127010,36203,3851,1008,34653,51386,38427,1554,,280902,240389,58905,7064,,225790,245980,47287,11016,4833,277686,286746,89757,32554,,151208,238406,64084,11646,,68893,137736,29419,826,,195304,163070,56657,,,23504,40665,13107,1936,862,41149,78663,13029,866,,109309,173122,72657,,2047,37045,55067,17414,,,301342,154898,27267,28696,,29670,39712,33568,1925,,537529,705461,165758,109339,10101,255682,438186,133554,,1439,22230,38745,8829,164,500,193687,377691,47115,20557,,99891,217302,41521,17170,,172442,187072,49666,3895,,329105,383905,117603,3805,2061,50772,39674,9967,954,416,111263,210478,29090,8476,,22666,60315,3337,4355,,257211,232754,69493,14883,,864516,883354,361969,68903,3794,107003,120255,46349,9693,,15699,22763,2777,9838,,206161,246360,123534,7031,1655,125811,290601,73432,17592,,26269,62261,34176,1867,,150778,134617,103376,6462,,12717,15115,5679,349,173,702310,429940,161333,125044,
Confidence in paying next rent or mortgage,No confidence,1340077,2687361,2667647,1406045,63037,19487,49212,58389,20535,,8244,9267,2227,2420,,29173,25408,39279,54406,,6588,42193,4958,12755,,232651,447278,584221,160331,,14912,21238,13231,30983,,17665,33211,7756,31236,1487,4673,8330,3802,8822,284,3986,1310,2049,3016,,79469,362947,256701,138853,,37352,45212,115182,57049,,14913,17619,7863,2958,5810,19559,8289,20604,5790,,59803,82062,105517,29845,,10912,61848,69930,9014,,9481,26443,11476,11953,,7833,19853,4426,24592,,17982,17606,5691,29231,5872,21694,16916,73936,48696,,8267,15431,1030,6618,,49376,39742,27479,9871,,25554,78380,52004,8866,10161,36268,63282,90689,66792,4399,29474,31894,26863,13920,5380,14278,12343,12764,33826,,7617,54140,33916,72522,,1064,4283,10853,221,,8136,6256,7896,3264,,16151,24906,29430,10450,,2615,12836,2744,1568,,54236,131124,52214,25069,,22837,5521,14983,2209,1219,28495,190246,195820,94047,,23710,71144,42289,99013,,1679,2701,3575,8752,1566,27501,73798,17297,29950,,7295,16018,42285,7788,,24456,30771,26306,26389,,64999,57831,275513,27124,,13251,12907,11939,3434,6554,15384,27854,10459,24978,,309,3269,6977,5138,,6293,66504,43832,12312,,99828,147143,112374,80303,20304,10547,14487,15782,3698,,526,2172,5351,1395,,23010,87457,47858,11466,,20121,72369,24452,17427,,3543,19593,6122,1595,,75518,12467,27927,10668,,1364,2250,1385,2887,,52800,222009,194209,107571,
Confidence in paying next rent or mortgage,Payment is/will be deferred,924158,475773,197902,41320,,7742,11902,,,,2058,110,244,,,10098,1624,3998,2343,,3079,4511,3919,,,136048,27492,29139,,,28294,21244,,,,5448,11006,2734,,,8227,,5226,,,5008,,,,,60104,426,1003,17462,,19446,936,3790,,,2436,,,,,3120,13003,,,,26586,47700,18120,,,6548,,,,,,,4301,,,7705,1949,,,,17893,3074,,6400,,5889,6797,,3964,,14774,,,,,14853,,23410,,,15007,4389,,,,39463,9593,1586,,,37803,9355,,,,6103,,1646,,,9100,1811,,,,4843,481,1670,,,6797,1385,,,,4822,8730,10780,1147,,4626,,,,,9830,25512,,2370,,30631,2767,875,,,49305,3520,4294,,,12086,,,,,2354,1249,,999,,20781,,2081,,,4547,26214,,2858,,13407,,,,,26060,7583,,,,2338,,,,,4531,6185,,,,3630,3064,1994,,,19476,13523,25050,3778,,92500,138928,19937,,,9038,1287,6812,,,1621,891,,,,79208,38790,24210,,,21459,15250,1084,,,1232,2138,,,,4969,,,,,1232,1354,,,,32633,22679,4294,2370,
Confidence in paying next rent or mortgage,Slight confidence,3418306,6865126,3804966,946020,195749,43591,96876,15793,4737,,7980,14852,5471,1994,,126955,105388,120243,24363,,42343,56510,34102,15088,,601118,979223,499898,85438,,54076,123571,44389,25326,,41070,61530,36746,11817,,5746,17314,24241,188,,11701,7060,5941,242,,138774,548254,401251,93565,,44631,294986,153641,33119,10344,26981,45832,11555,508,3821,15455,23237,31659,1817,,106511,370226,136522,72304,,67691,116739,123769,27639,26167,43611,69466,9579,2498,,12252,59679,54835,6079,,52001,77295,46729,6649,,65869,113522,80263,81042,,15824,22954,9145,,,68464,118019,39807,17858,,69620,133927,67065,11148,,78596,161066,92652,5969,,13645,89174,46585,8796,,32800,60647,49100,18490,,14132,102996,53223,43082,,4093,11782,6465,357,,14079,17614,9583,1741,,41630,129464,68132,16286,9375,6418,22323,35326,6265,2222,168397,267258,77347,7113,,23174,54332,16506,3044,,316386,293593,237518,60721,,94248,132373,328250,5070,5277,6448,11123,3296,761,,93497,193364,65921,3082,5197,30035,64733,38221,,,27823,124823,8990,37971,,70276,215544,78021,23394,,10308,15130,9401,1156,,33965,73013,70346,3121,,4962,8122,6831,201,,135948,116939,47816,12957,,305999,773732,325096,61714,129416,39880,63650,8622,4567,,6110,11109,6470,2371,,60285,127606,46358,41390,,67333,108208,58200,22607,730,11286,43098,10289,3483,,42795,109921,44209,26305,,1492,5930,3548,586,3200,292873,467417,201882,47198,
Covered by health insurance,Did not report or don’t know,5286128,3766146,1745964,600041,39694204,106276,44276,27697,5026,582178,9128,5714,5035,1957,59853,163547,139240,47003,,733600,71160,25825,5315,4682,384637,632564,717514,329375,59906,4491648,58386,40716,14876,2823,594020,59713,52459,16879,2315,464416,14070,12985,6230,361,101454,12164,3036,13196,1043,31055,412112,207035,177265,43542,3053679,97702,128692,71676,9379,1380474,24001,13724,7921,,119260,17965,11245,8529,1076,166766,96642,173966,25244,3407,1512825,131060,24578,27874,5796,939892,45921,10812,19043,7959,333196,29940,32174,,3499,327366,52907,48837,16990,6312,625976,81497,92243,8685,9994,763416,18625,3919,,3035,113137,75825,152254,15665,13899,459298,118744,56072,26340,11560,833606,162207,65938,81533,5994,1307087,74868,31586,34285,15153,549507,47192,32833,13335,,337776,72165,49340,37525,33700,620742,15788,13097,11719,,77500,29988,28363,14935,2692,223314,25964,62918,5931,1809,371136,18469,16869,966,,111683,155604,81494,65626,8080,1274543,33950,41079,12688,,272872,440945,160598,222451,126389,2585283,98276,195111,44403,,1491822,12612,7700,,1143,75546,266066,138431,12805,41413,1042856,48229,46249,14067,8360,403032,58702,25773,11728,26431,417557,192394,122132,47725,4503,1636301,13261,6187,4159,1176,132067,140927,29547,29347,,818795,12926,3270,498,,70901,110131,91082,32908,4603,848950,394196,301916,83968,72229,4075544,69671,40994,6688,330,252296,9679,10443,10232,,52205,175550,50061,36302,10027,983854,124326,65155,11432,,662892,8951,7262,2354,981,232348,135739,35261,22782,35288,614649,7402,8143,2733,2166,79393,435000,141414,209391,75084,2706762
Covered by health insurance,No,7170156,5632826,2666604,1147045,211663,90694,96192,46912,12388,,27670,13039,7783,918,,196827,86260,116032,29534,7454,75523,68264,11987,9172,,810462,554906,136466,108215,,56612,110479,52510,5311,,39222,6532,13782,15801,1487,7394,12701,12222,188,,6564,1428,2622,20132,,447416,450848,259934,45303,4202,252103,379607,204999,14970,,35779,42286,8076,,3821,47462,42914,27424,4703,,349684,326879,108617,46324,,119371,57672,40458,,,35869,11172,13666,5481,,46417,56655,39472,18708,,51553,40811,8813,47916,,37420,120121,17543,28484,,50156,6964,2030,1701,,86753,44684,4010,,1307,57465,57945,48809,21099,10703,117487,40256,46703,28258,,106622,72670,25288,8003,11822,62604,80014,29233,4853,1698,206242,104249,39525,40847,4329,27692,25145,8574,1990,,27526,13944,17152,9770,,70973,73448,42505,3783,,23335,2179,14969,,,254348,214307,44078,,15174,63337,32267,28212,1135,,384130,257604,67508,127698,14883,301039,198708,166019,47557,,19679,11362,4033,6488,,313035,123991,19078,12131,,82016,97435,66251,16822,15586,75103,76260,5989,24320,,238514,152704,130781,20223,,17794,8484,4868,,,82928,91883,51307,25609,14403,28721,35053,3129,5692,,164796,100125,35714,90168,4217,1164187,851116,498605,211042,94814,37007,89922,24221,,,3842,589,5946,2233,,51911,55154,24291,,,182631,146253,35834,16717,5764,39032,15785,20474,327,,77842,54868,17420,4065,,17366,18696,4729,970,,518307,265709,56067,118782,30057
Covered by health insurance,Yes,121774121,44403485,13623024,3918239,841364,1634327,804365,255486,122798,5842,275942,97942,15527,10591,234,2728859,968618,291149,104371,25389,962168,468684,121701,58533,3593,14849291,4692052,1882716,297640,75420,2525765,773008,198215,75275,4379,1516383,420181,100151,68298,10867,394987,162554,46869,11268,2063,321677,48866,24570,3257,1180,6966334,3643768,1033067,513019,95216,3507260,1347935,570330,146260,20987,520329,243847,61842,7722,6028,746794,273980,81328,17109,8599,4376010,1866739,458835,198485,7462,2544929,819240,238223,99062,35023,1275761,498993,103263,16841,5543,1069330,399744,105435,30908,10826,1522963,686528,223750,47708,10897,1147865,644924,291885,144609,36031,565748,253346,69363,7623,6059,2714590,782984,261381,50762,20373,2926004,909549,238577,37970,24768,3910362,1388539,411436,145735,7210,2448353,705996,144386,44896,19187,807942,535900,151856,75796,1361,2389205,702581,201042,146626,15761,475049,136517,52968,17738,862,752061,253795,49129,14448,6928,1035647,485564,212357,38423,18781,617660,220010,65005,12788,6073,3575216,1034978,228300,91880,48239,678949,273928,139102,32881,3633,7186345,2523288,653191,229344,16835,3809292,1203398,422268,118784,16341,278283,105073,26715,14069,2555,4634421,1629152,532653,129537,16728,1321341,648100,150750,37782,3557,1841184,594699,129731,34052,5393,4940823,1656722,590893,156437,30013,463276,148707,37727,5544,6970,1888813,692220,109152,49251,646,354837,108336,24706,8250,551,2427757,1091061,271753,74950,10481,9114631,3424855,1366970,85478,137255,1323373,444284,97927,22690,1610,294398,86135,13968,15777,3510,3537396,1230041,296109,98860,16731,3349717,1031208,245205,78333,15759,520572,412072,99158,14904,8474,2508263,748753,209327,49568,1049,195643,79727,15578,3310,2093,7187541,2066446,590159,225281,44208
Currently caught up on mortgage or rental payments,Did not report,8636989,5256208,2177730,1071256,39774571,132402,58015,33604,5026,588021,17286,6842,7052,3670,60087,193337,154355,70779,,711291,125957,41504,6840,13520,384637,1042382,806217,177341,93220,4521961,127719,76065,19148,9218,594020,125632,60855,18160,2315,468953,22513,24655,9418,361,101738,21572,5613,12103,1043,32235,586216,308397,146777,235076,3057722,305132,174826,173938,13527,1383485,32091,21119,30211,,119260,40558,21553,9264,502,169219,265531,214375,51539,12773,1512825,160384,29728,8696,20915,939892,67606,20085,23952,7959,333196,63347,41594,,4868,330164,84513,63274,19854,12580,625976,129130,107494,27443,38478,763416,44149,15262,5903,2368,113137,136980,161351,60219,12035,460604,182682,112249,43000,11560,843548,213150,98950,88009,32402,1302687,148077,48898,35614,15153,553583,74946,60762,13335,2951,339475,127737,67902,61275,38173,623667,32153,16149,16438,6424,77500,58513,38955,14693,3152,224229,45224,76874,8006,1809,371576,31998,17476,966,2394,114213,278843,152931,76677,8080,1285430,46091,62690,13069,,272872,513118,277545,230545,164495,2585283,265203,186404,5118,20480,1494662,14437,9660,4949,1143,76034,412890,196982,124617,46479,1048308,81241,71663,20833,8360,405222,104253,37196,13083,11065,414210,411262,184990,64798,4438,1646077,24421,10827,4146,1176,132067,170112,42126,14625,1512,833198,17659,3912,1032,,67837,195684,151703,49963,19495,852402,686001,523531,214472,122410,4058260,103208,43687,6191,2491,252462,12432,10755,9996,,52205,230314,144016,39815,8825,983854,157584,122615,42103,9879,668278,43148,11772,9499,,232348,218609,51310,32398,35288,614649,11558,8499,6221,2166,76597,517276,257729,215113,75084,2717649
Currently caught up on mortgage or rental payments,Housing owned or payment not required,38821953,10906332,3213158,1119302,265948,614469,230632,98982,22359,,93301,21334,6485,3076,,824068,251288,36751,42578,12150,346084,162359,27737,10733,1877,4012722,640094,294299,41522,4890,641969,120031,28516,3530,,490006,84080,13972,26915,,149893,30444,10618,,1444,41478,4901,1690,20132,,2625307,1048946,157156,76870,7842,1061224,341577,184391,13783,,140588,77289,7414,,218,237767,57386,16897,5343,3886,1419146,421233,98135,53869,7462,824911,244745,51712,38894,8193,477439,86245,36931,2154,,371124,98874,32839,14098,,503086,176989,63614,17936,1086,381101,314301,69286,4744,34014,173745,80575,5903,1820,6059,760095,151014,23862,17833,14191,824881,145228,49860,27093,5835,1425616,250058,127160,35187,,739513,100504,15010,11875,11822,257002,261024,70768,22433,,844868,204336,25538,45669,17165,176926,22011,14944,3275,,214087,55946,13815,8313,3798,251896,45027,35991,13465,,189089,59756,9302,964,183,1107631,149250,45353,21918,46376,250508,89815,94251,23806,1221,2547045,736385,61856,10641,2483,1309470,299652,69061,38187,5495,97685,14015,3637,9880,,1558314,506159,157219,70263,2731,445952,202384,53781,17912,,445489,75383,29833,1633,8740,1917289,508254,87162,104331,12102,114719,36658,4591,,,561811,235998,58590,27780,646,146274,38322,5530,1771,343,756934,225999,48955,85801,11246,3062336,1045233,699280,35420,14970,290214,96988,17784,3530,1444,114585,11896,2752,2357,3127,860628,201190,39348,37251,4121,899572,223306,38737,26533,2325,251085,144054,53282,9266,5785,907093,257416,11586,4101,,63913,19748,992,458,677,2351537,348933,29847,21210,39587
Currently caught up on mortgage or rental payments,No,3785898,4349607,2903226,1594858,142278,41416,66638,57430,20351,,3390,14431,4575,2038,,33099,14751,35002,70500,,16916,45380,26701,14426,,626940,453412,399812,183322,,40880,43020,40487,37953,,61959,48867,5244,27774,,14869,16767,14553,11456,,14635,8189,5212,3016,,242544,329208,182853,218614,2387,124100,108477,153559,34510,2603,27568,44961,12252,508,,2916,7457,14484,1865,,301490,149878,157682,35487,,21113,78054,110158,5681,,14806,28133,6177,9035,,20120,35273,35802,17652,,41960,64214,6157,34497,,40987,83606,61969,46730,,25064,16666,844,2220,,93036,85429,89836,5431,,83402,117275,91221,6159,2907,124783,114905,97469,41859,,59249,47287,48804,13266,,10782,48247,25179,28032,,34768,46667,54073,23751,,6342,14976,11262,,862,11662,27673,9616,9177,,21225,70160,69688,19784,3182,7719,23624,27983,5573,,137090,160275,37328,19635,,27340,24565,20614,6959,,332278,278073,128379,224962,,35797,143107,116947,61625,,7522,10532,7073,9751,,41379,173084,61290,26180,,15884,66509,32911,4872,,40683,107284,22400,29049,,91092,154845,132556,37664,,29451,16203,12396,4103,416,63034,72074,32045,17211,,2068,2019,7489,5890,,94908,79412,36751,11245,,444632,520437,204289,139954,128871,25997,16379,22197,9055,,3062,8775,5872,729,,85532,106908,20882,19824,,77792,86313,51608,22662,,8327,22999,6901,2152,,48046,37513,86495,10668,1049,4245,8673,720,,,417535,358043,108392,202230,
Currently caught up on mortgage or rental payments,Yes,82985566,33290310,9741477,1879910,564435,1043010,589549,140079,92476,,198763,74089,10232,4682,,2038728,773723,311651,20827,43001,619894,313530,77724,33708,1715,10610274,4064749,1477105,147698,40217,1830195,685086,177450,32708,4379,937721,285371,93437,29409,7817,229176,116373,30733,,336,262720,34627,21383,242,,4371795,2615100,983480,71305,85146,2366609,1231355,335115,108790,15373,379861,156488,27961,7214,9631,530980,241742,76637,15178,2260,2836169,1582098,285341,146087,,1788951,548963,135990,39369,26830,797700,386514,68912,11133,5543,691096,312831,76267,16496,8028,997864,471699,159928,36924,9811,715564,351886,159415,93135,2017,391570,151725,58744,5952,,1887057,582127,107139,29362,6182,2011246,648814,129645,25817,16788,2426507,1030820,227034,70539,11609,1683004,613563,104531,27758,15111,575008,278713,85142,27233,1361,1660240,537264,137206,113580,,303108,121623,30617,10028,,525312,173528,43092,6267,2214,814238,429870,147108,8957,15159,430658,138202,42689,3857,3361,2461603,868323,178644,50326,6151,452297,170203,52068,3251,2411,4618980,1649487,522370,83332,29235,2598137,968054,441565,46048,8006,190930,89928,15090,926,2067,3200939,1015349,221412,40159,8545,908510,451228,123543,31820,16953,1384563,476869,82131,43056,,2952089,1083469,484884,34730,8135,325740,99689,25620,1442,6554,1317711,463452,84544,28357,,230482,102406,14282,6281,3272,1655158,825154,204706,53179,,6480045,2488685,831501,70965,105511,1010630,418146,82663,7944,,177842,65743,11527,14925,383,2588382,883143,256658,42986,12609,2521726,810382,160023,35976,13813,265994,256294,52303,4793,2689,1548095,492644,119049,38864,,140696,69646,15106,3822,4212,4854498,1508864,502266,120623,23791
Difficulty hearing,A lot of difficulty,1608839,1420991,631710,397022,15748,23547,15561,9740,7155,5842,6445,2470,330,908,,69877,34935,8057,,2086,16467,29245,1151,6347,615,165616,80135,60932,50913,,20177,33545,,20416,,18055,15406,1393,2627,,11694,1268,510,,,3371,362,,,,135812,161045,117013,,,69366,67619,,22122,,3941,9370,,,,18049,13972,2880,3725,,49295,66080,27286,4499,,61668,28376,23177,,,27116,6098,2340,3146,,10502,12513,2153,11507,,54928,55444,14042,3982,,22206,16402,,,,22084,7499,5572,,,7538,20613,,16184,1720,18113,34262,,,,40925,42108,67527,3237,,21567,21178,15108,,,16099,11748,7815,3019,,56750,11672,16825,23625,,3289,6094,481,1513,,6256,2369,4818,,,6256,16759,9968,578,,9778,6184,1739,,,29226,17196,,,2795,33817,17655,7358,,,10307,36125,38487,10641,,35274,29088,11507,,,8668,4166,833,,,79021,36017,,3708,,46355,33821,18114,,,16521,17450,21023,452,,42859,80038,12704,,,5028,1153,,286,,23292,40268,3255,,,6000,4153,495,489,,23435,66581,11689,45046,,89638,116043,49901,117469,,26869,9033,15750,,,547,968,245,2661,,37338,19537,16526,,,44774,32654,17044,29778,,5838,19854,4963,,2689,39450,7496,,991,,7793,1364,959,,,25515,8685,4611,10641,2795
Difficulty hearing,Cannot do at all,360022,246186,140651,181039,7364,3158,4636,,,,183,176,,184,,3306,6010,,46990,,2700,,,4758,,19409,25084,52146,3137,,2680,16554,,1563,,,1306,,,,320,,5226,,,924,,,19016,,25766,5589,,,,,39163,3068,,,,1469,,,,,227,,,,19499,,,9255,,8029,,7224,,,,822,1799,,,,2046,,,,2172,6149,,,,1686,,,31521,,777,,,,,14894,2325,,,,3405,,2087,18392,,7667,1516,4318,,,9329,2732,,,7364,,7965,,,,8766,,,,,,,5319,,,,825,,8689,,629,,957,,,,,,,,55218,6060,8940,,,7531,,,,,25989,63230,3656,,,8115,,,,,,1569,,,,52769,3348,20489,12752,,,15645,3527,6260,,,,3937,457,,,,,3174,,5917,,,,,,2619,,,,,,,,,9010,,,14892,,49733,14824,14036,,,868,1807,,,,,,,,,,,,,,9153,12490,,,,422,,3922,,,,,,,,,,,,,52622,30159,,,
Difficulty hearing,Did not report,6974327,4461309,1926542,839362,39723641,106777,46638,33604,5026,582178,11249,5932,5116,2163,59853,149555,142288,53376,,713901,88113,50304,9841,4682,384637,870316,679257,171980,58175,4514302,86163,51523,16070,2823,594020,91552,52979,15486,2315,466167,20422,19583,10373,549,101454,15582,5932,9705,1043,32056,543936,216258,163245,215182,3057722,230512,131949,149000,2262,1383485,25542,18482,30211,2958,119260,29391,17157,7812,1689,168375,194945,181441,32875,3407,1512825,130115,35444,6473,5796,939892,71902,16183,20276,7959,333196,47100,34200,,4868,327366,71848,57602,18188,6312,631848,100972,86999,8685,9994,761315,23830,10153,1968,815,113137,133121,153316,42575,12035,459298,169870,91164,46636,11560,833606,189494,75171,89549,32402,1302687,119109,36039,34285,15153,550851,47153,60766,15556,,337776,141432,57977,60381,38173,623667,22846,13709,12581,6424,77500,43012,32903,15640,3152,224229,32048,78529,6510,1809,371136,22796,13536,966,2394,111936,165099,130508,78042,8080,1285430,46030,43939,11833,,272872,427979,246570,149331,164495,2585283,211117,202360,5118,,1494662,12298,7864,352,1143,76034,317572,159689,92509,41413,1048308,57503,102778,18953,,405222,75104,35754,13083,9021,414210,289090,135329,68063,4438,1646077,21213,10381,2809,4610,132067,157060,33856,18441,11959,818795,18078,3147,,,67837,132898,143856,62607,4603,852402,547345,374455,180629,76228,4058260,88287,44275,2583,330,252462,11291,10443,9996,,52205,220608,125295,39815,7104,982105,131220,114681,36422,7362,666714,31581,10671,11141,,232348,172820,45310,29630,35288,614649,9431,6738,6221,2166,76020,428110,215135,140363,75084,2717649
